"","day","active_tasks_adherence","at_spatialtask","at_tapcount","daily_survey_adherence","ds_emotion_arousal","ds_emotion_valence","ds_freetime","ds_loneliness","ds_new_exciting","ds_optimism","ds_stress"
"1",1,1,2.26908210196998,57,1,-5,0,24,0,1,4,3
"2",2,1,4.62060005099047,79,1,-2,-1,5,2,3,2,3
"3",3,1,3.12235424683895,128,1,4,2,5,2,2,2,1
"4",4,0,NA,NA,1,-4,1,10,3,1,2,4
"5",5,1,2.50564154337626,76,1,3,-3,0,2,4,2,0
"6",6,1,2.15408286864404,129,1,0,4,1,0,0,1,4
"7",7,1,3.01377946946304,102,1,4,3,4,3,1,3,0
"8",8,1,1.66676481922623,113,1,3,0,2,2,0,1,4
"9",9,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"10",10,1,1.65192927182652,71,0,NA,NA,NA,NA,NA,NA,NA
"11",11,1,2.16593025773764,69,0,NA,NA,NA,NA,NA,NA,NA
"12",12,0,NA,NA,1,2,-3,2,2,1,0,2
"13",13,1,1.17902212587651,66,0,NA,NA,NA,NA,NA,NA,NA
"14",14,1,1.65260640482884,92,1,0,2,11,4,2,0,3
"15",15,0,NA,NA,1,2,4,4,1,0,1,3
"16",16,1,2.38892428656109,103,1,2,-2,0,2,1,2,2
"17",17,1,1.45587043876294,99,0,NA,NA,NA,NA,NA,NA,NA
"18",18,1,1.45043962481432,143,0,NA,NA,NA,NA,NA,NA,NA
"19",19,0,NA,NA,1,1,3,1,0,3,0,2
"20",20,1,1.5517666216474,92,0,NA,NA,NA,NA,NA,NA,NA
"21",21,1,1.7057210824918,92,0,NA,NA,NA,NA,NA,NA,NA
"22",22,1,1.63462441512384,139,1,-1,3,10,1,3,2,4
"23",23,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"24",24,0,NA,NA,1,2,2,14,2,1,2,2
"25",25,0,NA,NA,1,0,3,4,1,0,3,3
"26",26,1,3.462803360424,129,0,NA,NA,NA,NA,NA,NA,NA
"27",27,1,2.5515388895059,110,0,NA,NA,NA,NA,NA,NA,NA
"28",28,1,1.88877652918454,118,0,NA,NA,NA,NA,NA,NA,NA
"29",29,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"30",30,0,NA,NA,1,-3,2,16,0,1,0,3
