"","day","active_tasks_adherence","at_spatialtask","at_tapcount","daily_survey_adherence","ds_emotion_arousal","ds_emotion_valence","ds_freetime","ds_loneliness","ds_new_exciting","ds_optimism","ds_stress"
"1",1,1,1.73580485398415,31,1,-3,-3,7,2,1,1,3
"2",2,1,1.9025564157404,82,1,-2,-2,5,1,0,0,3
"3",3,1,2.51226846026257,62,0,NA,NA,NA,NA,NA,NA,NA
"4",4,1,2.32110265630763,35,1,2,4,6,3,2,2,4
"5",5,1,2.46533156416845,85,1,-2,-1,0,3,2,1,3
"6",6,1,2.01013004011475,50,0,NA,NA,NA,NA,NA,NA,NA
"7",7,1,2.42520370075945,95,1,0,1,24,3,0,2,0
"8",8,0,NA,NA,1,-1,3,16,2,3,3,0
"9",9,1,2.17866568630561,64,0,NA,NA,NA,NA,NA,NA,NA
"10",10,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"11",11,1,1.46861570668407,128,1,-5,0,3,4,2,1,2
"12",12,0,NA,NA,1,2,2,7,1,2,2,4
"13",13,1,2.19279209962115,66,0,NA,NA,NA,NA,NA,NA,NA
"14",14,1,2.51311198705807,89,0,NA,NA,NA,NA,NA,NA,NA
"15",15,1,2.76309854460414,83,1,-5,-1,0,0,1,1,3
"16",16,0,NA,NA,1,-1,-1,2,3,2,3,1
"17",17,1,1.96094992209692,114,1,1,1,4,4,0,2,2
"18",18,0,NA,NA,1,-1,0,10,2,2,2,0
"19",19,0,NA,NA,1,-1,3,6,3,1,1,4
"20",20,0,NA,NA,1,4,-3,12,3,2,1,1
"21",21,0,NA,NA,1,-5,-4,8,2,2,1,0
"22",22,0,NA,NA,1,0,0,0,2,3,1,1
"23",23,1,2.44974031089805,70,1,3,0,5,0,3,1,3
"24",24,1,1.85255537563935,95,0,NA,NA,NA,NA,NA,NA,NA
"25",25,0,NA,NA,1,2,0,5,2,0,2,0
"26",26,0,NA,NA,1,-5,-1,7,1,1,4,2
"27",27,0,NA,NA,1,-2,4,15,3,1,4,0
"28",28,1,1.42982096113265,133,0,NA,NA,NA,NA,NA,NA,NA
"29",29,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"30",30,1,2.09336015493609,57,0,NA,NA,NA,NA,NA,NA,NA
